question,value,positive_answer,negative_answer
Should I undertake to stimulate the study of social problems if I could influence the educational policies of the public schools of some city?,Social,"If I could influence the educational policies of the public schools of some city, I would undertake to to stimulate the study of social problems.",
Should I undertake to provide additional laboratory facilities if I could influence the educational policies of the public schools of some city?,Theoretical,"If I could influence the educational policies of the public schools of some city, I would undertake to provide additional laboratory facilities.",
Should I undertake to increase the practical value of courses if I could influence the educational policies of the public schools of some city?,Economic,"If I could influence the educational policies of the public schools of some city, I would undertake to increase the practical value of courses.",
"Should I prefer to develop friendships with people who are efficient, industrious, and of a practical turn of mind?",Economic,"I prefer to develop friendships with people who are efficient, industrious and of a practical turn of mind.",
Should I prefer to develop friendships with people who are seriously interested in thinking out their attitude toward life as a whole?,Religious,I prefer to develop friendships with people who are seriously interested in thinking out their attitude toward life as a whole.,
Should I prefer to develop friendships with people who possess qualities of leadership and organizing ability?,Political,I prefer to develop friendships with people who possess qualities ofleadership and organizing ability.,
Should I prefer to develop friendships with people who show artistic and emotional sensitivity?,Aesthetic,I prefer to develop friendships with people who show artistic and emotional sensitivity.,
Should I prefer to apply my excess income productively to assist commercial and industrial development if I lived in a small town?,Economic,"If I lived in a small town and had more than enough income for my needs, I would prefer to apply it productively to assist commercial and industrial development.",
Should I prefer to help advance the activities of local religious groups if I lived in a small town and had more than enough income for my needs?,Religious,"If I lived in a small town and had more than enough income for my needs, I would prefer to  help to advance the activities of local religious groups.",
Should I prefer to give my excess income for the development of scientific research in my locality if I lived in a small town?,Theoretical,"If I lived in a small town and had more than enough income for my needs, I would prefer to   give it for the development of scientific research in your locality.",
Should I prefer to give my extra income to The Family Welfare Society if I lived in a small town and had more than enough for my needs?,Social,"If I lived in a small town and had more than enough income for my needs, I would prefer to   give it to The Family Welfare Society.",
"Should I, as a rule, enjoy plays that treat the lives of great individuals most when I go to the theater?",Political,"When I go to the theater, I, as a rule, enjoy plays that treat the lives of great individuals most.",
"Should I, as a rule, enjoy ballets, operas, or similar artistic performances most when I go to the theater?",Aesthetic,"When I go to the theater, I, as a rule, enjoy ballets, operas, or similar artistic performances most.",
Should I enjoy plays with themes of human suffering and love the most when I go to the theater?,Social,"When I go to the theater, I, as a rule, enjoy plays that have a theme of human suffering and love most.",
Should I enjoy dramas that highlight the dilemmas and paradoxes of life most when I go to the theater?,Theoretical,"When I go to the theater, I, as a rule, enjoy dramas that highlight the dilemmas and paradoxes of life most.",
Should I prefer to be a mathematician if I have the necessary ability and the salary is the same for all occupations?,Theoretical,"Assuming that I possess the necessary ability, and that the salary for each occupations is the same, I would prefer to be a mathematician.",
Should I prefer to be a sales manager if I have the necessary ability and the salary is the same for each occupation?,Economic,"Assuming that I possess the necessary ability, and that the salary for each occupations is the same, I would prefer to be a sales manager.",
Should I prefer to be a member of the clergy if I have the necessary ability and the salary is the same for all occupations?,Religious,"Assuming that I possess the necessary ability, and that the salary for each occupations is the same, I would prefer to be a  member of the clergy (priest/minister/rabbi, etc.).",
Should I prefer to be a politician if I have the necessary ability and the salary is the same for all occupations?,Political,"Assuming that I possess the necessary ability, and that the salary for each occupations is the same, I would prefer to be a politician.",
Should I prefer to make a collection of fine sculptures or paintings if I had sufficient leisure and money?,Aesthetic,"If I had sufficient leisure and money, I would prefer to make a collection of fine sculptures or paintings.",
Should I prefer to establish a center for the care and training of the disabled if I had sufficient leisure and money?,Social,"If I had sufficient leisure and money, I would prefer to establish a center for the care and training of the disabled.",
Should I aim for a senatorship or a seat in the Cabinet if I have sufficient leisure and money?,Political,"If I had sufficient leisure and money, I would prefer to  aim at a senatorship, or a seat in the Cabinet.",
Should I prefer to establish a business or financial enterprise of my own if I had sufficient leisure and money?,Economic,"If I had sufficient leisure and money, I would prefer to establish a business or financial enterprise of my own.",
Should I be more interested when the conversation at an evening discussion with close friends concerns the meaning of life?,Religious,"At an evening discussion with close friends, I am more interested when the conversation concerns the meaning of life.",
Should I be more interested in the conversation when it concerns developments in science during an evening discussion with close friends?,Theoretical,"At an evening discussion with close friends, I am more interested when the conversation concerns developments in science.",
Should I be more interested when the conversation with close friends concerns literature?,Aesthetic,"At an evening discussion with close friends, I am more interested when the conversation concerns literature.",
Should I be more interested in a conversation about poverty and social amelioration when discussing with close friends in the evening?,Social,"At an evening discussion with close friends, I am more interested when the conversation concerns poverty and social amelioration.",
Should I prefer to write and publish an original biological essay or article during part of my next summer vacation if my ability and other conditions permit?,Theoretical,"If my ability and other conditions would permit during part of my next summer vacation, I would prefer to write and publish an original biological essay or article.",
Should I prefer to stay in a secluded part of the country with fine scenery during my next summer vacation if my ability and conditions permit?,Aesthetic,"If my ability and other conditions would permit during part of my next summer vacation, I would prefer to stay in some secluded part of the country where youcan appreciate fine scenery.",
Should I prefer to enter a local tennis or other athletic tournament during part of my next summer vacation if my ability and other conditions permit?,Political,"If my ability and other conditions would permit during part of my next summer vacation, I would prefer to enter a local tennis or other athletic tournament.",
Should I prefer to get experience in some new line of business during part of my next summer vacation if my ability and other conditions permit?,Economic,"If my ability and other conditions would permit during part of my next summer vacation, I would prefer to get experience in some new line of business.",
Should great exploits and adventures of discovery seem significant to me because they demonstrate the ability of human beings to overcome the difficult forces of nature?,Political,"Great exploits and adventures of discovery such as Columbus's, Magellan's, and Earhart's seem significant to me because they demonstrate the ability of human beings to overcome the difficult forces of nature.",
"Should great exploits and adventures of discovery like Columbus's, Magellan's, and Earhart's seem significant to me because they add to our knowledge of geography, meteorology, oceanography, etc.?",Theoretical,"Great exploits and adventures of discovery such as Columbus's, Magellan's, and Earhart's seem significant to me because they add to our knowledge of geography, meteorology, oceanography, etc.",
"Should great exploits and adventures of discovery like Columbus's, Magellan's, and Earhart's seem significant to me because they weld human interests and international feelings throughout the world?",Social,"Great exploits and adventures of discovery such as Columbus's, Magellan's, and Earhart's seem significant to me because they weld human interests and international feelings throughout the world.",
"Should great exploits and adventures of discovery like those of Columbus, Magellan, and Earhart seem significant to me because they contribute to an ultimate understanding of the universe?",Religious,"Great exploits and adventures of discovery such as Columbus's, Magellan's, and Earhart's seem significant to me because they contribute each in a small way to an ultimate understanding of the universe.",
"Should I guide my conduct according to, or develop my chief loyalties toward, my religious faith?",Religious,"One should guide one's conduct according to, or develop one's chief loyalties toward one's religious faith.",
"Should I guide my conduct according to, or develop my chief loyalties toward ideals of beauty?",Aesthetic,"One should guide one's conduct according to, or develop one's chief loyalties toward ideals of beauty.",
"Should I guide my conduct according to, or develop my chief loyalties toward my occupational organization and associates?",Economic,"One should guide one's conduct according to, or develop one's chief loyalties toward one's occupational organization and associates.",
"Should I guide my conduct according to, or develop my chief loyalties toward, ideals of charity?",Social,"One should guide one's conduct according to, or develop one's chief loyalties toward ideals of charity.",
"Should Mother Theresa be the famous person that interests me most among Mother Theresa, General Colin Powell, Bill Gates, and Marie Curie?",Social,"Among Mother Theresa, General Colin Powell, Bill Gates and Marie Curie, the famous person that interests me most is Mother Theresa.",
"Should General Colin Powell be the famous person that interests me most among Mother Theresa, Bill Gates, and Marie Curie?",Political,"Among Mother Theresa, General Colin Powell, Bill Gates and Marie Curie, the famous person that interests me most is General Colin Powell.",
"Should Bill Gates be the famous person that interests me most among Mother Theresa, General Colin Powell, and Marie Curie?",Economic,"Among Mother Theresa, General Colin Powell, Bill Gates and Marie Curie, the famous person that interests me most is Bill Gates.",
"Should Marie Curie be the famous person that interests me most among Mother Theresa, General Colin Powell, Bill Gates, and Marie Curie?",Theoretical,"Among Mother Theresa, General Colin Powell, Bill Gates and Marie Curie, the famous person that interests me most is Marie Curie.",
Should I prefer a spouse/life-time companion who is successful in their profession and commands admiration from others?,Political,"In choosing a spouse/life-time companion, I would prefer someone who  is successful in his/her profession, commanding admiration from others.",
Should I prefer someone who likes to help people when choosing a spouse or life-time companion?,Social,"In choosing a spouse/life-time companion, I would prefer someone who likes to help people.",
Should I prefer someone who is fundamentally spiritual in their attitudes toward life when choosing a spouse or life-time companion?,Religious,"In choosing a spouse/life-time companion, I would prefer someone who is fundamentally spiritual in his/her attitudes toward life.",
Should I prefer someone who is gifted along artistic lines when choosing a spouse or life-time companion?,Aesthetic,"In choosing a spouse/life-time companion, I would prefer someone who is gifted along artistic lines.",
"Should I think of Leonardo da Vinci's picture, ""The Last Supper,"" as expressing the highest spiritual aspirations and emotions?",Religious,"Viewing Leonardo da Vinci's picture,""The Last Supper,"" I would tend to think of it as expressing the highest spiritual aspirations and emotions.",
"Should I think of Leonardo da Vinci's picture, ""The Last Supper,"" as one of the most priceless and irreplaceable pictures ever painted?",Economic,"Viewing Leonardo da Vinci's picture,""The Last Supper,"" I would tend to think of it as one of the most priceless and irreplaceable pictures ever painted.",
"Should I think of Leonardo da Vinci's picture, ""The Last Supper,"" in relation to Leonardo's versatility and its place in history?",Theoretical,"Viewing Leonardo da Vinci's picture,""The Last Supper,"" I would tend to think of it in relation to Leonardo's versatility and its place in history.",
"Should I think of Leonardo da Vinci's picture, ""The Last Supper,"" as the quintessence of harmony and design?",Aesthetic,"Viewing Leonardo da Vinci's picture,""The Last Supper,"" I would tend to think of it the quintessence of harmony and design.",
